name,composition,manufacturer,pack_size,mrp,is_symptomatic
Sumo 500mg,Sumo + Excipients,Pharma_86,17,235.14,False
Benadryl 650mg,Benadryl + Excipients,Pharma_29,11,29.19,False
Dolo 650 Tablet,Dolo 650 + Excipients,Pharma_53,25,232.89,True
Otrivin 650mg,Otrivin + Excipients,Pharma_86,25,249.44,False
Medicine_2939,Unknown Composition,Pharma_46,25,61.54,False
Tramadol Syrup,Tramadol + Excipients,Pharma_96,4,361.01,False
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_48,13,83.45,True
Paracetamol 650mg,Paracetamol + Excipients,Pharma_58,10,341.98,True
Medicine_4528,Unknown Composition,Pharma_64,1,404.09,False
Medicine_7295,Unknown Composition,Pharma_17,1,180.57,False
Amoxicillin 500mg,Amoxicillin + Excipients,Pharma_98,14,24.5,False
Diclofenac 500mg,Diclofenac + Excipients,Pharma_74,7,360.65,False
Augmentin Syrup,Augmentin + Excipients,Pharma_99,24,282.77,False
Benadryl 650mg,Benadryl + Excipients,Pharma_91,10,378.84,False
Medicine_3817,Unknown Composition,Pharma_9,26,43.67,False
Medicine_8510,Unknown Composition,Pharma_26,16,61.52,False
Ambroxol 500mg,Ambroxol + Excipients,Pharma_98,11,246.66,False
Medicine_6621,Unknown Composition,Pharma_67,9,403.17,False
Cefixime Tablet,Cefixime + Excipients,Pharma_29,3,488.08,False
Volini Tablet,Volini + Excipients,Pharma_88,27,366.14,False
Combiflam 500mg,Combiflam + Excipients,Pharma_20,21,122.56,False
Medicine_4290,Unknown Composition,Pharma_85,25,412.71,False
Diclofenac 650mg,Diclofenac + Excipients,Pharma_82,22,261.31,False
Paracetamol 500mg,Paracetamol + Excipients,Pharma_16,10,136.02,True
Augmentin Syrup,Augmentin + Excipients,Pharma_67,16,348.22,False
Medicine_8443,Unknown Composition,Pharma_32,21,290.85,False
Medicine_5102,Unknown Composition,Pharma_84,11,31.68,False
Medicine_4878,Unknown Composition,Pharma_49,17,46.12,False
Otrivin Tablet,Otrivin + Excipients,Pharma_4,29,194.17,False
Combiflam Syrup,Combiflam + Excipients,Pharma_15,21,316.8,False
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_89,28,404.24,False
Ambroxol Tablet,Ambroxol + Excipients,Pharma_31,20,205.02,False
Medicine_1993,Unknown Composition,Pharma_7,22,209.41,False
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_46,23,197.37,True
Sumo 500mg,Sumo + Excipients,Pharma_50,18,478.74,False
Volini Tablet,Volini + Excipients,Pharma_19,21,310.17,False
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_21,24,349.13,True
Medicine_1713,Unknown Composition,Pharma_92,1,395.77,False
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_71,27,389.62,False
Paracetamol 650mg,Paracetamol + Excipients,Pharma_47,18,492.67,True
Sinarest 650mg,Sinarest + Excipients,Pharma_62,9,496.69,False
Ascoril Tablet,Ascoril + Excipients,Pharma_22,16,339.39,False
Paracetamol 650mg,Paracetamol + Excipients,Pharma_87,2,224.21,True
Crocin Tablet,Crocin + Excipients,Pharma_41,11,351.79,False
Ambroxol Tablet,Ambroxol + Excipients,Pharma_97,3,318.22,False
Cefixime 500mg,Cefixime + Excipients,Pharma_29,11,147.21,False
Crocin Syrup,Crocin + Excipients,Pharma_73,1,393.3,False
Medicine_5384,Unknown Composition,Pharma_21,13,406.65,False
Paracetamol 650mg,Paracetamol + Excipients,Pharma_56,26,58.93,True
Ibuprofen 650mg,Ibuprofen + Excipients,Pharma_17,1,125.02,False
Medicine_9021,Unknown Composition,Pharma_90,24,337.63,False
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_21,8,361.06,True
Benadryl 650mg,Benadryl + Excipients,Pharma_88,18,246.45,False
Medicine_1176,Unknown Composition,Pharma_2,13,459.16,False
Medicine_3150,Unknown Composition,Pharma_2,7,19.17,False
Tramadol Syrup,Tramadol + Excipients,Pharma_42,17,87.05,False
Maxtra Syrup,Maxtra + Excipients,Pharma_29,3,413.42,False
Crocin 650mg,Crocin + Excipients,Pharma_70,29,134.47,False
Sinarest Tablet,Sinarest + Excipients,Pharma_41,19,51.89,False
Crocin Syrup,Crocin + Excipients,Pharma_59,29,138.83,False
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_29,21,301.01,True
Medicine_1419,Unknown Composition,Pharma_73,19,152.08,False
Medicine_2529,Unknown Composition,Pharma_33,23,155.05,False
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_2,1,457.92,True
Tramadol 500mg,Tramadol + Excipients,Pharma_92,25,127.12,False
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_16,25,156.41,True
Benadryl 500mg,Benadryl + Excipients,Pharma_25,2,340.73,False
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_71,25,422.74,False
Paracetamol 500mg,Paracetamol + Excipients,Pharma_6,24,362.55,True
Medicine_5654,Unknown Composition,Pharma_1,13,38.75,False
Cetirizine 500mg,Cetirizine + Excipients,Pharma_61,3,478.12,True
Otrivin Tablet,Otrivin + Excipients,Pharma_81,17,357.17,False
Medicine_4082,Unknown Composition,Pharma_89,15,235.11,False
Tramadol 500mg,Tramadol + Excipients,Pharma_5,14,156.53,False
Azithromycin 650mg,Azithromycin + Excipients,Pharma_80,9,200.83,True
Azithromycin 650mg,Azithromycin + Excipients,Pharma_99,8,31.14,True
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_8,14,74.18,False
Medicine_9257,Unknown Composition,Pharma_10,28,369.84,False
Medicine_3903,Unknown Composition,Pharma_66,7,250.02,False
Medicine_4343,Unknown Composition,Pharma_53,14,267.61,False
Medicine_5567,Unknown Composition,Pharma_75,22,358.12,False
Maxtra 500mg,Maxtra + Excipients,Pharma_43,25,140.04,False
Volini Tablet,Volini + Excipients,Pharma_67,14,30.09,False
Azithromycin 650mg,Azithromycin + Excipients,Pharma_65,7,240.99,True
Crocin 500mg,Crocin + Excipients,Pharma_70,26,466.77,False
Cetirizine 500mg,Cetirizine + Excipients,Pharma_98,5,465.91,True
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_24,8,336.22,True
Maxtra 500mg,Maxtra + Excipients,Pharma_59,11,354.77,False
Tramadol Tablet,Tramadol + Excipients,Pharma_13,6,206.46,False
Otrivin Syrup,Otrivin + Excipients,Pharma_37,18,443.25,False
Crocin 650mg,Crocin + Excipients,Pharma_84,9,43.89,False
Maxtra Tablet,Maxtra + Excipients,Pharma_1,13,102.61,False
Medicine_3258,Unknown Composition,Pharma_51,28,400.07,False
Medicine_5248,Unknown Composition,Pharma_99,8,253.52,False
Medicine_9673,Unknown Composition,Pharma_15,8,202.83,False
Combiflam 500mg,Combiflam + Excipients,Pharma_82,5,475.66,False
Amoxicillin 500mg,Amoxicillin + Excipients,Pharma_60,1,222.29,False
Tramadol Syrup,Tramadol + Excipients,Pharma_54,25,213.21,False
Combiflam Syrup,Combiflam + Excipients,Pharma_33,6,412.4,False
Medicine_2393,Unknown Composition,Pharma_46,3,245.93,False
Medicine_7845,Unknown Composition,Pharma_6,9,401.04,False
Combiflam 500mg,Combiflam + Excipients,Pharma_57,7,423.45,False
Diclofenac Syrup,Diclofenac + Excipients,Pharma_3,21,93.68,False
Paracetamol 650mg,Paracetamol + Excipients,Pharma_31,23,402.66,True
Otrivin Tablet,Otrivin + Excipients,Pharma_54,18,191.43,False
Medicine_5387,Unknown Composition,Pharma_89,29,65.14,False
Medicine_1476,Unknown Composition,Pharma_25,26,148.84,False
Volini Tablet,Volini + Excipients,Pharma_39,1,256.12,False
Tramadol Syrup,Tramadol + Excipients,Pharma_56,5,184.64,False
Azithromycin Syrup,Azithromycin + Excipients,Pharma_87,8,377.28,True
Medicine_6601,Unknown Composition,Pharma_59,7,331.67,False
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_88,19,435.62,True
Medicine_8980,Unknown Composition,Pharma_39,17,392.78,False
Diclofenac Syrup,Diclofenac + Excipients,Pharma_89,13,231.12,False
Sinarest Syrup,Sinarest + Excipients,Pharma_96,26,295.78,False
Cetirizine Syrup,Cetirizine + Excipients,Pharma_48,5,133.97,True
Medicine_7800,Unknown Composition,Pharma_44,11,323.15,False
Paracetamol Syrup,Paracetamol + Excipients,Pharma_66,25,98.07,True
Ambroxol Tablet,Ambroxol + Excipients,Pharma_33,9,184.77,False
Medicine_4208,Unknown Composition,Pharma_7,24,302.39,False
Medicine_2342,Unknown Composition,Pharma_49,11,382.66,False
Combiflam Tablet,Combiflam + Excipients,Pharma_4,11,16.7,False
Cefixime Syrup,Cefixime + Excipients,Pharma_82,14,422.06,False
Medicine_8625,Unknown Composition,Pharma_82,2,290.12,False
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_12,29,413.13,True
Medicine_5507,Unknown Composition,Pharma_11,3,421.39,False
Medicine_2476,Unknown Composition,Pharma_6,17,366.03,False
Diclofenac 500mg,Diclofenac + Excipients,Pharma_63,19,353.4,False
Medicine_3468,Unknown Composition,Pharma_62,5,412.61,False
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_34,8,170.67,True
Benadryl Tablet,Benadryl + Excipients,Pharma_17,26,159.67,False
Ambroxol Syrup,Ambroxol + Excipients,Pharma_83,28,174.18,False
Medicine_6033,Unknown Composition,Pharma_36,4,484.56,False
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_19,9,448.91,False
Benadryl Tablet,Benadryl + Excipients,Pharma_17,13,206.08,False
Combiflam 500mg,Combiflam + Excipients,Pharma_47,10,109.17,False
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_96,28,472.79,False
Sumo 650mg,Sumo + Excipients,Pharma_64,8,152.38,False
Otrivin 500mg,Otrivin + Excipients,Pharma_60,5,418.17,False
Medicine_2645,Unknown Composition,Pharma_62,1,334.22,False
Maxtra Syrup,Maxtra + Excipients,Pharma_4,17,411.66,False
Otrivin Syrup,Otrivin + Excipients,Pharma_77,12,495.93,False
Paracetamol 650mg,Paracetamol + Excipients,Pharma_48,2,46.06,True
Medicine_9319,Unknown Composition,Pharma_87,10,497.28,False
Otrivin 500mg,Otrivin + Excipients,Pharma_67,23,31.91,False
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_75,18,473.3,True
Medicine_6968,Unknown Composition,Pharma_33,21,420.21,False
Ascoril 500mg,Ascoril + Excipients,Pharma_39,11,359.71,False
Medicine_3800,Unknown Composition,Pharma_48,8,351.23,False
Medicine_3411,Unknown Composition,Pharma_76,19,429.13,False
Volini Tablet,Volini + Excipients,Pharma_35,27,118.34,False
Crocin 500mg,Crocin + Excipients,Pharma_29,13,42.01,False
Sumo Tablet,Sumo + Excipients,Pharma_68,3,255.84,False
Otrivin 650mg,Otrivin + Excipients,Pharma_44,2,58.45,False
Sumo Tablet,Sumo + Excipients,Pharma_25,10,457.55,False
Medicine_7701,Unknown Composition,Pharma_17,1,125.18,False
Volini Tablet,Volini + Excipients,Pharma_99,1,274.63,False
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_23,29,57.5,False
Combiflam Tablet,Combiflam + Excipients,Pharma_58,13,31.14,False
Ascoril Syrup,Ascoril + Excipients,Pharma_18,3,405.14,False
Medicine_1530,Unknown Composition,Pharma_77,11,106.64,False
Sumo Syrup,Sumo + Excipients,Pharma_39,19,67.12,False
Medicine_4433,Unknown Composition,Pharma_26,8,175.99,False
Cetirizine 650mg,Cetirizine + Excipients,Pharma_7,7,111.12,True
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_75,13,247.8,True
Benadryl Tablet,Benadryl + Excipients,Pharma_63,27,21.44,False
Medicine_2653,Unknown Composition,Pharma_80,3,48.97,False
Medicine_9018,Unknown Composition,Pharma_71,27,203.19,False
Medicine_2092,Unknown Composition,Pharma_83,28,31.73,False
Medicine_3801,Unknown Composition,Pharma_59,2,101.27,False
Maxtra 650mg,Maxtra + Excipients,Pharma_94,17,267.3,False
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_95,15,259.84,False
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_23,20,15.36,False
Medicine_7312,Unknown Composition,Pharma_56,17,264.01,False
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_51,10,44.79,False
Cetirizine 650mg,Cetirizine + Excipients,Pharma_41,14,75.21,True
Azithromycin 500mg,Azithromycin + Excipients,Pharma_96,8,445.68,True
Augmentin 500mg,Augmentin + Excipients,Pharma_93,11,446.49,False
Otrivin 500mg,Otrivin + Excipients,Pharma_23,23,444.76,False
Maxtra 500mg,Maxtra + Excipients,Pharma_75,5,124.92,False
Diclofenac 500mg,Diclofenac + Excipients,Pharma_11,7,105.3,False
Medicine_6881,Unknown Composition,Pharma_97,10,445.19,False
Otrivin Syrup,Otrivin + Excipients,Pharma_10,1,436.91,False
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_6,21,20.25,False
Ambroxol 500mg,Ambroxol + Excipients,Pharma_16,25,83.94,False
Medicine_1667,Unknown Composition,Pharma_60,1,123.08,False
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_12,28,217.55,True
Medicine_2239,Unknown Composition,Pharma_51,14,355.8,False
Medicine_9915,Unknown Composition,Pharma_44,12,221.36,False
Medicine_4375,Unknown Composition,Pharma_32,9,212.62,False
Combiflam 500mg,Combiflam + Excipients,Pharma_42,25,416.66,False
Diclofenac 500mg,Diclofenac + Excipients,Pharma_12,10,256.84,False
Volini 500mg,Volini + Excipients,Pharma_91,28,118.25,False
Medicine_5424,Unknown Composition,Pharma_85,4,21.95,False
Medicine_9847,Unknown Composition,Pharma_4,18,318.96,False
Sinarest 650mg,Sinarest + Excipients,Pharma_61,23,69.46,False
Sinarest 500mg,Sinarest + Excipients,Pharma_39,19,193.43,False
Cefixime 500mg,Cefixime + Excipients,Pharma_58,22,21.52,False
Medicine_4283,Unknown Composition,Pharma_29,16,116.24,False
Sinarest Syrup,Sinarest + Excipients,Pharma_61,21,208.05,False
Medicine_9774,Unknown Composition,Pharma_51,19,430.29,False
Medicine_7354,Unknown Composition,Pharma_27,11,355.17,False
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_85,19,123.03,False
Volini Tablet,Volini + Excipients,Pharma_53,6,494.7,False
Tramadol Syrup,Tramadol + Excipients,Pharma_45,9,59.23,False
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_59,14,350.91,False
Medicine_8117,Unknown Composition,Pharma_85,8,496.12,False
Maxtra 650mg,Maxtra + Excipients,Pharma_84,27,343.6,False
Medicine_3806,Unknown Composition,Pharma_13,17,408.01,False
Medicine_6254,Unknown Composition,Pharma_10,26,262.1,False
Tramadol Tablet,Tramadol + Excipients,Pharma_91,14,87.53,False
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_45,17,270.37,True
Paracetamol 500mg,Paracetamol + Excipients,Pharma_16,9,78.22,True
Medicine_8679,Unknown Composition,Pharma_31,23,303.14,False
Medicine_2166,Unknown Composition,Pharma_92,17,240.06,False
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_43,20,71.19,False
Cefixime 500mg,Cefixime + Excipients,Pharma_41,25,132.2,False
Crocin 500mg,Crocin + Excipients,Pharma_96,2,55.2,False
Medicine_9396,Unknown Composition,Pharma_86,13,249.57,False
Augmentin Syrup,Augmentin + Excipients,Pharma_34,6,326.57,False
Medicine_9820,Unknown Composition,Pharma_65,2,289.15,False
Crocin Tablet,Crocin + Excipients,Pharma_67,15,487.44,False
Medicine_9748,Unknown Composition,Pharma_39,2,208.33,False
Combiflam 650mg,Combiflam + Excipients,Pharma_91,24,234.11,False
Medicine_1860,Unknown Composition,Pharma_97,25,396.56,False
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_33,8,479.37,True
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_28,6,358.8,False
Benadryl Tablet,Benadryl + Excipients,Pharma_70,23,235.69,False
Cetirizine 500mg,Cetirizine + Excipients,Pharma_93,24,363.03,True
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_3,5,318.71,True
Medicine_3103,Unknown Composition,Pharma_63,4,399.14,False
Diclofenac 650mg,Diclofenac + Excipients,Pharma_45,3,185.35,False
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_25,7,344.99,False
Tramadol Tablet,Tramadol + Excipients,Pharma_77,21,311.56,False
Medicine_2279,Unknown Composition,Pharma_3,4,60.69,False
Augmentin 650mg,Augmentin + Excipients,Pharma_46,18,362.52,False
Medicine_6616,Unknown Composition,Pharma_55,12,480.98,False
Volini Syrup,Volini + Excipients,Pharma_75,14,400.41,False
Medicine_2293,Unknown Composition,Pharma_53,14,320.44,False
Medicine_8217,Unknown Composition,Pharma_84,5,180.67,False
Volini Tablet,Volini + Excipients,Pharma_22,15,220.67,False
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_30,28,428.5,True
Combiflam 500mg,Combiflam + Excipients,Pharma_25,6,496.4,False
Medicine_7382,Unknown Composition,Pharma_53,26,270.06,False
Tramadol 500mg,Tramadol + Excipients,Pharma_7,11,101.63,False
Medicine_5545,Unknown Composition,Pharma_16,16,460.87,False
Diclofenac Syrup,Diclofenac + Excipients,Pharma_19,18,127.06,False
Cefixime Tablet,Cefixime + Excipients,Pharma_8,16,126.19,False
Medicine_5435,Unknown Composition,Pharma_90,16,154.17,False
Medicine_3049,Unknown Composition,Pharma_37,6,24.73,False
Otrivin 500mg,Otrivin + Excipients,Pharma_87,10,23.71,False
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_63,23,404.94,True
Medicine_5157,Unknown Composition,Pharma_94,10,170.62,False
Dextromethorphan Tablet,Dextromethorphan + Excipients,Pharma_30,14,330.21,False
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_13,15,34.67,False
