name,composition,manufacturer,pack_size,mrp
Combiflam Syrup,Combiflam + Excipients,Pharma_42,20,205.63
Medicine_7092,Unknown Composition,Pharma_13,28,267.0
Ascoril 650mg,Ascoril + Excipients,Pharma_99,29,295.3
Benadryl Syrup,Benadryl + Excipients,Pharma_75,7,304.07
Azithromycin Syrup,Azithromycin + Excipients,Pharma_26,9,488.06
Azithromycin Tablet,Azithromycin + Excipients,Pharma_3,20,51.96
Otrivin Syrup,Otrivin + Excipients,Pharma_2,27,160.12
Cetirizine Syrup,Cetirizine + Excipients,Pharma_83,18,356.93
Medicine_1190,Unknown Composition,Pharma_40,17,279.66
Sinarest 650mg,Sinarest + Excipients,Pharma_61,24,499.08
Cetirizine 650mg,Cetirizine + Excipients,Pharma_82,9,395.15
Cefixime 500mg,Cefixime + Excipients,Pharma_28,12,39.15
Diclofenac 650mg,Diclofenac + Excipients,Pharma_81,28,309.31
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_38,18,400.44
Tramadol 500mg,Tramadol + Excipients,Pharma_55,24,446.34
Medicine_8055,Unknown Composition,Pharma_55,4,494.81
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_44,14,66.83
Sinarest 650mg,Sinarest + Excipients,Pharma_62,5,183.62
Medicine_7244,Unknown Composition,Pharma_97,11,207.36
Tramadol 650mg,Tramadol + Excipients,Pharma_86,7,427.47
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_30,17,448.86
Medicine_8260,Unknown Composition,Pharma_30,21,293.53
Maxtra Syrup,Maxtra + Excipients,Pharma_81,29,173.22
Ascoril 500mg,Ascoril + Excipients,Pharma_55,11,355.79
Paracetamol 500mg,Paracetamol + Excipients,Pharma_14,15,257.07
Combiflam Syrup,Combiflam + Excipients,Pharma_52,8,423.18
Medicine_6748,Unknown Composition,Pharma_26,19,455.74
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_39,22,233.03
Volini 650mg,Volini + Excipients,Pharma_21,13,301.78
Medicine_4777,Unknown Composition,Pharma_78,15,273.48
Amoxicillin Tablet,Amoxicillin + Excipients,Pharma_75,27,49.23
Medicine_4251,Unknown Composition,Pharma_71,13,490.97
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_60,29,149.03
Medicine_9799,Unknown Composition,Pharma_51,20,101.0
Medicine_1711,Unknown Composition,Pharma_87,1,180.2
Medicine_5446,Unknown Composition,Pharma_82,10,453.85
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_88,22,136.45
Ambroxol Tablet,Ambroxol + Excipients,Pharma_26,19,56.47
Medicine_3977,Unknown Composition,Pharma_10,17,214.33
Benadryl 500mg,Benadryl + Excipients,Pharma_76,29,343.24
Tramadol 650mg,Tramadol + Excipients,Pharma_41,26,322.03
Cefixime Syrup,Cefixime + Excipients,Pharma_29,21,48.11
Cetirizine Syrup,Cetirizine + Excipients,Pharma_57,22,133.32
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_66,18,378.95
Volini 500mg,Volini + Excipients,Pharma_73,28,24.38
Medicine_8213,Unknown Composition,Pharma_1,28,392.56
Medicine_6716,Unknown Composition,Pharma_88,27,374.74
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_75,19,144.32
Augmentin Tablet,Augmentin + Excipients,Pharma_6,20,202.58
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_87,14,237.53
Medicine_9022,Unknown Composition,Pharma_39,20,213.23
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_49,13,276.02
Sinarest Tablet,Sinarest + Excipients,Pharma_15,27,44.87
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_90,24,464.93
Sumo 500mg,Sumo + Excipients,Pharma_86,17,235.14
Benadryl 650mg,Benadryl + Excipients,Pharma_29,11,29.19
Dolo 650 Tablet,Dolo 650 + Excipients,Pharma_53,25,232.89
Otrivin 650mg,Otrivin + Excipients,Pharma_86,25,249.44
Medicine_2939,Unknown Composition,Pharma_46,25,61.54
Tramadol Syrup,Tramadol + Excipients,Pharma_96,4,361.01
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_48,13,83.45
Paracetamol 650mg,Paracetamol + Excipients,Pharma_58,10,341.98
Medicine_4528,Unknown Composition,Pharma_64,1,404.09
Medicine_7295,Unknown Composition,Pharma_17,1,180.57
Amoxicillin 500mg,Amoxicillin + Excipients,Pharma_98,14,24.5
Diclofenac 500mg,Diclofenac + Excipients,Pharma_74,7,360.65
Augmentin Syrup,Augmentin + Excipients,Pharma_99,24,282.77
Benadryl 650mg,Benadryl + Excipients,Pharma_91,10,378.84
Medicine_3817,Unknown Composition,Pharma_9,26,43.67
Medicine_8510,Unknown Composition,Pharma_26,16,61.52
Ambroxol 500mg,Ambroxol + Excipients,Pharma_98,11,246.66
Medicine_6621,Unknown Composition,Pharma_67,9,403.17
Cefixime Tablet,Cefixime + Excipients,Pharma_29,3,488.08
Volini Tablet,Volini + Excipients,Pharma_88,27,366.14
Combiflam 500mg,Combiflam + Excipients,Pharma_20,21,122.56
Medicine_4290,Unknown Composition,Pharma_85,25,412.71
Diclofenac 650mg,Diclofenac + Excipients,Pharma_82,22,261.31
Paracetamol 500mg,Paracetamol + Excipients,Pharma_16,10,136.02
Augmentin Syrup,Augmentin + Excipients,Pharma_67,16,348.22
Medicine_8443,Unknown Composition,Pharma_32,21,290.85
Medicine_5102,Unknown Composition,Pharma_84,11,31.68
Medicine_4878,Unknown Composition,Pharma_49,17,46.12
Otrivin Tablet,Otrivin + Excipients,Pharma_4,29,194.17
Combiflam Syrup,Combiflam + Excipients,Pharma_15,21,316.8
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_89,28,404.24
Ambroxol Tablet,Ambroxol + Excipients,Pharma_31,20,205.02
Medicine_1993,Unknown Composition,Pharma_7,22,209.41
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_46,23,197.37
Sumo 500mg,Sumo + Excipients,Pharma_50,18,478.74
Volini Tablet,Volini + Excipients,Pharma_19,21,310.17
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_21,24,349.13
Medicine_1713,Unknown Composition,Pharma_92,1,395.77
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_71,27,389.62
Paracetamol 650mg,Paracetamol + Excipients,Pharma_47,18,492.67
Sinarest 650mg,Sinarest + Excipients,Pharma_62,9,496.69
Ascoril Tablet,Ascoril + Excipients,Pharma_22,16,339.39
Paracetamol 650mg,Paracetamol + Excipients,Pharma_87,2,224.21
Crocin Tablet,Crocin + Excipients,Pharma_41,11,351.79
Ambroxol Tablet,Ambroxol + Excipients,Pharma_97,3,318.22
Cefixime 500mg,Cefixime + Excipients,Pharma_29,11,147.21
Crocin Syrup,Crocin + Excipients,Pharma_73,1,393.3
Medicine_5384,Unknown Composition,Pharma_21,13,406.65
Paracetamol 650mg,Paracetamol + Excipients,Pharma_56,26,58.93
Ibuprofen 650mg,Ibuprofen + Excipients,Pharma_17,1,125.02
Medicine_9021,Unknown Composition,Pharma_90,24,337.63
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_21,8,361.06
Benadryl 650mg,Benadryl + Excipients,Pharma_88,18,246.45
Medicine_1176,Unknown Composition,Pharma_2,13,459.16
Medicine_3150,Unknown Composition,Pharma_2,7,19.17
Tramadol Syrup,Tramadol + Excipients,Pharma_42,17,87.05
Maxtra Syrup,Maxtra + Excipients,Pharma_29,3,413.42
Crocin 650mg,Crocin + Excipients,Pharma_70,29,134.47
Sinarest Tablet,Sinarest + Excipients,Pharma_41,19,51.89
Crocin Syrup,Crocin + Excipients,Pharma_59,29,138.83
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_29,21,301.01
Medicine_1419,Unknown Composition,Pharma_73,19,152.08
Medicine_2529,Unknown Composition,Pharma_33,23,155.05
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_2,1,457.92
Tramadol 500mg,Tramadol + Excipients,Pharma_92,25,127.12
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_16,25,156.41
Benadryl 500mg,Benadryl + Excipients,Pharma_25,2,340.73
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_71,25,422.74
Paracetamol 500mg,Paracetamol + Excipients,Pharma_6,24,362.55
Medicine_5654,Unknown Composition,Pharma_1,13,38.75
Cetirizine 500mg,Cetirizine + Excipients,Pharma_61,3,478.12
Otrivin Tablet,Otrivin + Excipients,Pharma_81,17,357.17
Medicine_4082,Unknown Composition,Pharma_89,15,235.11
Tramadol 500mg,Tramadol + Excipients,Pharma_5,14,156.53
Azithromycin 650mg,Azithromycin + Excipients,Pharma_80,9,200.83
Azithromycin 650mg,Azithromycin + Excipients,Pharma_99,8,31.14
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_8,14,74.18
Medicine_9257,Unknown Composition,Pharma_10,28,369.84
Medicine_3903,Unknown Composition,Pharma_66,7,250.02
Medicine_4343,Unknown Composition,Pharma_53,14,267.61
Medicine_5567,Unknown Composition,Pharma_75,22,358.12
Maxtra 500mg,Maxtra + Excipients,Pharma_43,25,140.04
Volini Tablet,Volini + Excipients,Pharma_67,14,30.09
Azithromycin 650mg,Azithromycin + Excipients,Pharma_65,7,240.99
Crocin 500mg,Crocin + Excipients,Pharma_70,26,466.77
Cetirizine 500mg,Cetirizine + Excipients,Pharma_98,5,465.91
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_24,8,336.22
Maxtra 500mg,Maxtra + Excipients,Pharma_59,11,354.77
Tramadol Tablet,Tramadol + Excipients,Pharma_13,6,206.46
Otrivin Syrup,Otrivin + Excipients,Pharma_37,18,443.25
Crocin 650mg,Crocin + Excipients,Pharma_84,9,43.89
Maxtra Tablet,Maxtra + Excipients,Pharma_1,13,102.61
Medicine_3258,Unknown Composition,Pharma_51,28,400.07
Medicine_5248,Unknown Composition,Pharma_99,8,253.52
Medicine_9673,Unknown Composition,Pharma_15,8,202.83
Combiflam 500mg,Combiflam + Excipients,Pharma_82,5,475.66
Amoxicillin 500mg,Amoxicillin + Excipients,Pharma_60,1,222.29
Tramadol Syrup,Tramadol + Excipients,Pharma_54,25,213.21
Combiflam Syrup,Combiflam + Excipients,Pharma_33,6,412.4
Medicine_2393,Unknown Composition,Pharma_46,3,245.93
Medicine_7845,Unknown Composition,Pharma_6,9,401.04
Combiflam 500mg,Combiflam + Excipients,Pharma_57,7,423.45
Diclofenac Syrup,Diclofenac + Excipients,Pharma_3,21,93.68
Paracetamol 650mg,Paracetamol + Excipients,Pharma_31,23,402.66
Otrivin Tablet,Otrivin + Excipients,Pharma_54,18,191.43
Medicine_5387,Unknown Composition,Pharma_89,29,65.14
Medicine_1476,Unknown Composition,Pharma_25,26,148.84
Volini Tablet,Volini + Excipients,Pharma_39,1,256.12
Tramadol Syrup,Tramadol + Excipients,Pharma_56,5,184.64
Azithromycin Syrup,Azithromycin + Excipients,Pharma_87,8,377.28
Medicine_6601,Unknown Composition,Pharma_59,7,331.67
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_88,19,435.62
Medicine_8980,Unknown Composition,Pharma_39,17,392.78
Diclofenac Syrup,Diclofenac + Excipients,Pharma_89,13,231.12
Sinarest Syrup,Sinarest + Excipients,Pharma_96,26,295.78
Cetirizine Syrup,Cetirizine + Excipients,Pharma_48,5,133.97
Medicine_7800,Unknown Composition,Pharma_44,11,323.15
Paracetamol Syrup,Paracetamol + Excipients,Pharma_66,25,98.07
Ambroxol Tablet,Ambroxol + Excipients,Pharma_33,9,184.77
Medicine_4208,Unknown Composition,Pharma_7,24,302.39
Medicine_2342,Unknown Composition,Pharma_49,11,382.66
Combiflam Tablet,Combiflam + Excipients,Pharma_4,11,16.7
Cefixime Syrup,Cefixime + Excipients,Pharma_82,14,422.06
Medicine_8625,Unknown Composition,Pharma_82,2,290.12
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_12,29,413.13
Medicine_5507,Unknown Composition,Pharma_11,3,421.39
Medicine_2476,Unknown Composition,Pharma_6,17,366.03
Diclofenac 500mg,Diclofenac + Excipients,Pharma_63,19,353.4
Medicine_3468,Unknown Composition,Pharma_62,5,412.61
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_34,8,170.67
Benadryl Tablet,Benadryl + Excipients,Pharma_17,26,159.67
Ambroxol Syrup,Ambroxol + Excipients,Pharma_83,28,174.18
Medicine_6033,Unknown Composition,Pharma_36,4,484.56
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_19,9,448.91
Benadryl Tablet,Benadryl + Excipients,Pharma_17,13,206.08
Combiflam 500mg,Combiflam + Excipients,Pharma_47,10,109.17
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_96,28,472.79
Sumo 650mg,Sumo + Excipients,Pharma_64,8,152.38
Otrivin 500mg,Otrivin + Excipients,Pharma_60,5,418.17
Medicine_2645,Unknown Composition,Pharma_62,1,334.22
Maxtra Syrup,Maxtra + Excipients,Pharma_4,17,411.66
Otrivin Syrup,Otrivin + Excipients,Pharma_77,12,495.93
Paracetamol 650mg,Paracetamol + Excipients,Pharma_48,2,46.06
Medicine_9319,Unknown Composition,Pharma_87,10,497.28
Otrivin 500mg,Otrivin + Excipients,Pharma_67,23,31.91
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_75,18,473.3
Medicine_6968,Unknown Composition,Pharma_33,21,420.21
Ascoril 500mg,Ascoril + Excipients,Pharma_39,11,359.71
Medicine_3800,Unknown Composition,Pharma_48,8,351.23
Medicine_3411,Unknown Composition,Pharma_76,19,429.13
Volini Tablet,Volini + Excipients,Pharma_35,27,118.34
Crocin 500mg,Crocin + Excipients,Pharma_29,13,42.01
Sumo Tablet,Sumo + Excipients,Pharma_68,3,255.84
Otrivin 650mg,Otrivin + Excipients,Pharma_44,2,58.45
Sumo Tablet,Sumo + Excipients,Pharma_25,10,457.55
Medicine_7701,Unknown Composition,Pharma_17,1,125.18
Volini Tablet,Volini + Excipients,Pharma_99,1,274.63
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_23,29,57.5
Combiflam Tablet,Combiflam + Excipients,Pharma_58,13,31.14
Ascoril Syrup,Ascoril + Excipients,Pharma_18,3,405.14
Medicine_1530,Unknown Composition,Pharma_77,11,106.64
Sumo Syrup,Sumo + Excipients,Pharma_39,19,67.12
Medicine_4433,Unknown Composition,Pharma_26,8,175.99
Cetirizine 650mg,Cetirizine + Excipients,Pharma_7,7,111.12
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_75,13,247.8
Benadryl Tablet,Benadryl + Excipients,Pharma_63,27,21.44
Medicine_2653,Unknown Composition,Pharma_80,3,48.97
Medicine_9018,Unknown Composition,Pharma_71,27,203.19
Medicine_2092,Unknown Composition,Pharma_83,28,31.73
Medicine_3801,Unknown Composition,Pharma_59,2,101.27
Maxtra 650mg,Maxtra + Excipients,Pharma_94,17,267.3
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_95,15,259.84
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_23,20,15.36
Medicine_7312,Unknown Composition,Pharma_56,17,264.01
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_51,10,44.79
Cetirizine 650mg,Cetirizine + Excipients,Pharma_41,14,75.21
Azithromycin 500mg,Azithromycin + Excipients,Pharma_96,8,445.68
Augmentin 500mg,Augmentin + Excipients,Pharma_93,11,446.49
Otrivin 500mg,Otrivin + Excipients,Pharma_23,23,444.76
Maxtra 500mg,Maxtra + Excipients,Pharma_75,5,124.92
Diclofenac 500mg,Diclofenac + Excipients,Pharma_11,7,105.3
Medicine_6881,Unknown Composition,Pharma_97,10,445.19
Otrivin Syrup,Otrivin + Excipients,Pharma_10,1,436.91
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_6,21,20.25
Ambroxol 500mg,Ambroxol + Excipients,Pharma_16,25,83.94
Medicine_1667,Unknown Composition,Pharma_60,1,123.08
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_12,28,217.55
Medicine_2239,Unknown Composition,Pharma_51,14,355.8
Medicine_9915,Unknown Composition,Pharma_44,12,221.36
Medicine_4375,Unknown Composition,Pharma_32,9,212.62
Combiflam 500mg,Combiflam + Excipients,Pharma_42,25,416.66
Diclofenac 500mg,Diclofenac + Excipients,Pharma_12,10,256.84
Volini 500mg,Volini + Excipients,Pharma_91,28,118.25
Medicine_5424,Unknown Composition,Pharma_85,4,21.95
Medicine_9847,Unknown Composition,Pharma_4,18,318.96
Sinarest 650mg,Sinarest + Excipients,Pharma_61,23,69.46
Sinarest 500mg,Sinarest + Excipients,Pharma_39,19,193.43
Cefixime 500mg,Cefixime + Excipients,Pharma_58,22,21.52
Medicine_4283,Unknown Composition,Pharma_29,16,116.24
Sinarest Syrup,Sinarest + Excipients,Pharma_61,21,208.05
Medicine_9774,Unknown Composition,Pharma_51,19,430.29
Medicine_7354,Unknown Composition,Pharma_27,11,355.17
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_85,19,123.03
Volini Tablet,Volini + Excipients,Pharma_53,6,494.7
Tramadol Syrup,Tramadol + Excipients,Pharma_45,9,59.23
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_59,14,350.91
Medicine_8117,Unknown Composition,Pharma_85,8,496.12
Maxtra 650mg,Maxtra + Excipients,Pharma_84,27,343.6
Medicine_3806,Unknown Composition,Pharma_13,17,408.01
Medicine_6254,Unknown Composition,Pharma_10,26,262.1
Tramadol Tablet,Tramadol + Excipients,Pharma_91,14,87.53
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_45,17,270.37
Paracetamol 500mg,Paracetamol + Excipients,Pharma_16,9,78.22
Medicine_8679,Unknown Composition,Pharma_31,23,303.14
Medicine_2166,Unknown Composition,Pharma_92,17,240.06
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_43,20,71.19
Cefixime 500mg,Cefixime + Excipients,Pharma_41,25,132.2
Crocin 500mg,Crocin + Excipients,Pharma_96,2,55.2
Medicine_9396,Unknown Composition,Pharma_86,13,249.57
Augmentin Syrup,Augmentin + Excipients,Pharma_34,6,326.57
Medicine_9820,Unknown Composition,Pharma_65,2,289.15
Crocin Tablet,Crocin + Excipients,Pharma_67,15,487.44
Medicine_9748,Unknown Composition,Pharma_39,2,208.33
Combiflam 650mg,Combiflam + Excipients,Pharma_91,24,234.11
Medicine_1860,Unknown Composition,Pharma_97,25,396.56
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_33,8,479.37
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_28,6,358.8
Benadryl Tablet,Benadryl + Excipients,Pharma_70,23,235.69
Cetirizine 500mg,Cetirizine + Excipients,Pharma_93,24,363.03
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_3,5,318.71
Medicine_3103,Unknown Composition,Pharma_63,4,399.14
Diclofenac 650mg,Diclofenac + Excipients,Pharma_45,3,185.35
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_25,7,344.99
Tramadol Tablet,Tramadol + Excipients,Pharma_77,21,311.56
Medicine_2279,Unknown Composition,Pharma_3,4,60.69
Augmentin 650mg,Augmentin + Excipients,Pharma_46,18,362.52
Medicine_6616,Unknown Composition,Pharma_55,12,480.98
Volini Syrup,Volini + Excipients,Pharma_75,14,400.41
Medicine_2293,Unknown Composition,Pharma_53,14,320.44
Medicine_8217,Unknown Composition,Pharma_84,5,180.67
Volini Tablet,Volini + Excipients,Pharma_22,15,220.67
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_30,28,428.5
Combiflam 500mg,Combiflam + Excipients,Pharma_25,6,496.4
Medicine_7382,Unknown Composition,Pharma_53,26,270.06
Tramadol 500mg,Tramadol + Excipients,Pharma_7,11,101.63
Medicine_5545,Unknown Composition,Pharma_16,16,460.87
Diclofenac Syrup,Diclofenac + Excipients,Pharma_19,18,127.06
Cefixime Tablet,Cefixime + Excipients,Pharma_8,16,126.19
Medicine_5435,Unknown Composition,Pharma_90,16,154.17
Medicine_3049,Unknown Composition,Pharma_37,6,24.73
Otrivin 500mg,Otrivin + Excipients,Pharma_87,10,23.71
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_63,23,404.94
Medicine_5157,Unknown Composition,Pharma_94,10,170.62
Dextromethorphan Tablet,Dextromethorphan + Excipients,Pharma_30,14,330.21
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_13,15,34.67
Ambroxol 500mg,Ambroxol + Excipients,Pharma_69,21,20.08
Medicine_8147,Unknown Composition,Pharma_53,15,107.95
Medicine_1686,Unknown Composition,Pharma_28,20,20.33
Ambroxol Tablet,Ambroxol + Excipients,Pharma_8,13,441.76
Medicine_9753,Unknown Composition,Pharma_70,9,87.48
Medicine_5077,Unknown Composition,Pharma_20,16,397.61
Crocin Syrup,Crocin + Excipients,Pharma_32,26,473.66
Medicine_3745,Unknown Composition,Pharma_31,10,143.75
Amoxicillin Syrup,Amoxicillin + Excipients,Pharma_26,11,398.53
Cefixime Tablet,Cefixime + Excipients,Pharma_71,27,490.95
Tramadol 650mg,Tramadol + Excipients,Pharma_69,29,139.69
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_40,22,66.47
Amoxicillin Syrup,Amoxicillin + Excipients,Pharma_45,2,417.27
Medicine_3685,Unknown Composition,Pharma_21,27,258.01
Azithromycin Tablet,Azithromycin + Excipients,Pharma_83,24,484.56
Medicine_4250,Unknown Composition,Pharma_45,1,210.52
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_79,10,166.29
Tramadol 650mg,Tramadol + Excipients,Pharma_1,11,468.26
Medicine_6151,Unknown Composition,Pharma_1,4,439.48
Sinarest Tablet,Sinarest + Excipients,Pharma_79,19,40.4
Ascoril 500mg,Ascoril + Excipients,Pharma_61,18,201.94
Tramadol Tablet,Tramadol + Excipients,Pharma_64,13,131.36
Combiflam 500mg,Combiflam + Excipients,Pharma_69,22,215.03
Volini Syrup,Volini + Excipients,Pharma_59,25,142.09
Medicine_1815,Unknown Composition,Pharma_94,5,388.79
